Station Name,lat,lon
dartmouth,"50° 21' 04"" N","03° 34' 26"" W"
deal,"51° 13' 08"" N","01° 24' 32"" E"
dell-quay,"50° 49' 12"" N","00° 49' 02"" W"
dover,"51° 07' 07"" N","01° 19' 44"" E"
duddon,"54° 10' 57"" N","03° 15' 31"" W"
dungeness,"50° 54' 34"" N","00° 58' 47"" E"
eastbourne,"50° 45' 54"" N","00° 17' 47"" E"
eastham,"53° 19' 28"" N","02° 56' 49"" W"
exmouth,"50° 36' 59"" N","03° 25' 28"" W"
falmouth,"50° 09' 22"" N","05° 03' 41"" W"
felixstowe,"51° 57' 27"" N","01° 21' 17"" E"
filey-bay,"54° 12' 27"" N","00° 16' 38"" W"
flat-holm,"51° 22' 58"" N","03° 07' 08"" W"
fleetwood,"53° 55' 44"" N","03° 00' 12"" W"
flixborough-wharf,"53° 37' 23"" N","00° 42' 36"" W"
folkestone,"51° 04' 20"" N","01° 10' 36"" E"
formby,"53° 32' 55"" N","03° 06' 33"" W"
fowey,"50° 19' 58"" N","04° 38' 04"" W"
freshwater-bay,"50° 40' 03"" N","01° 30' 44"" W"
glasson-dock,"53° 59' 52"" N","02° 50' 39"" W"
goole,"53° 41' 59"" N","00° 51' 54"" W"
gorleston,"52° 34' 11"" N","01° 44' 20"" E"
greenway,"50° 23' 07"" N","03° 35' 27"" W"
greenwich,"51° 29' 03"" N","00° 00' 47"" W"
grimsby,"53° 35' 01"" N","00° 03' 58"" W"
grovehurst-jetty,"51° 21' 58"" N","00° 45' 54"" E"
hartlepool,"54° 41' 09"" N","01° 11' 31"" W"
harwich,"51° 56' 56"" N","01° 16' 51"" E"
hastings,"50° 51' 02"" N","00° 34' 29"" E"
helford-river-entrance,"50° 05' 49"" N","05° 06' 07"" W"
herne-bay,"51° 22' 29"" N","01° 07' 39"" E"
heysham,"54° 02' 57"" N","02° 54' 03"" W"
hinkley-point,"51° 12' 29"" N","03° 08' 16"" W"
holliwell-point,"51° 38' 06"" N","00° 56' 19"" E"
holy-island,"55° 39' 58"" N","01° 48' 11"" W"
hornsea,"53° 54' 44"" N","00° 09' 19"" W"
hull,"53° 43' 56"" N","00° 19' 45"" W"
hunstanton,"52° 56' 25"" N","00° 28' 51"" E"
iken,"52° 09' 06"" N","01° 31' 10"" E"
ilfracombe,"51° 12' 36"" N","04° 06' 36"" W"
immingham,"53° 37' 53"" N","00° 10' 52"" W"
ipswich,"52° 03' 02"" N","01° 09' 31"" E"
itchenor,"50° 48' 18"" N","00° 51' 29"" W"
jupiter-point,"50° 23' 30"" N","04° 13' 44"" W"
keadby,"53° 35' 34"" N","00° 44' 18"" W"
kings-lynn,"52° 45' 10"" N","00° 23' 26"" E"
langstone-harbour,"50° 48' 35"" N","01° 00' 45"" W"
lawyers-creek,"52° 53' 31"" N","00° 04' 45"" E"
lee-on-the-solent,"50° 48' 00"" N","01° 12' 27"" W"
littlehampton,"50° 47' 58"" N","00° 32' 23"" W"
liverpool,"53° 25' 58"" N","03° 01' 27"" W"
lizard-point,"49° 57' 27"" N","05° 11' 49"" W"
london,"51° 30' 26"" N","00° 06' 53"" W"
looe,"50° 21' 26"" N","04° 27' 29"" W"
lostwithiel,"50° 24' 23"" N","04° 40' 03"" W"
lowestoft,"52° 28' 13"" N","01° 45' 34"" E"
lulworth,"50° 37' 03"" N","02° 14' 48"" W"
lymington,"50° 45' 00"" N","01° 31' 15"" W"
lynmouth,"51° 13' 55"" N","03° 49' 19"" W"
mablethorpe,"53° 20' 34"" N","00° 16' 00"" E"
maldon,"51° 43' 58"" N","00° 40' 38"" E"
margate,"51° 23' 26"" N","01° 22' 32"" E"
maryport,"54° 43' 02"" N","03° 30' 18"" W"
mevagissey,"50° 16' 11"" N","04° 46' 49"" W"
middlesbrough,"54° 35' 06"" N","01° 13' 53"" W"
minehead,"51° 13' 20"" N","03° 28' 29"" W"
mistley,"51° 56' 52"" N","01° 05' 01"" E"
morecambe,"54° 04' 24"" N","02° 52' 04"" W"
mupe-bay,"50° 37' 11"" N","02° 12' 30"" W"
newbiggin-by-the-sea,"55° 10' 53"" N","01° 30' 33"" W"
newcastle-upon-tyne,"54° 58' 00"" N","01° 36' 16"" W"
newhaven,"50° 46' 41"" N","00° 03' 26"" E"
newlyn,"50° 06' 11"" N","05° 32' 41"" W"
newquay,"50° 24' 56"" N","05° 05' 01"" W"
north-fambridge,"51° 38' 07"" N","00° 40' 34"" E"
north-shields,"55° 00' 40"" N","01° 25' 44"" W"
north-sunderland,"55° 35' 05"" N","01° 38' 56"" W"
northney,"50° 50' 07"" N","00° 57' 52"" W"
orford-ness,"52° 04' 35"" N","01° 33' 49"" E"
osea-island,"51° 43' 08"" N","00° 45' 32"" E"
padstow,"50° 32' 24"" N","04° 55' 58"" W"
pagham,"50° 46' 04"" N","00° 43' 59"" W"
par,"50° 20' 16"" N","04° 42' 10"" W"
penzance,"50° 07' 10"" N","05° 31' 40"" W"
perranporth,"50° 20' 51"" N","05° 09' 26"" W"
plymouth-devonport,"50° 21' 45"" N","04° 10' 55"" W"
port-sutton-bridge,"52° 46' 02"" N","00° 11' 43"" E"
porthleven,"50° 04' 48"" N","05° 19' 13"" W"
portland,"50° 34' 16"" N","02° 26' 48"" W"
portsmouth,"50° 47' 01"" N","01° 06' 23"" W"
preston,"53° 45' 15"" N","02° 43' 03"" W"
ramsgate,"51° 19' 25"" N","01° 25' 12"" E"
redbridge,"50° 55' 12"" N","01° 28' 35"" W"
ribble-river-entrance,"53° 43' 33"" N","02° 56' 44"" W"
river-tees-entrance,"54° 37' 35"" N","01° 09' 29"" W"
river-yealm-entrance,"50° 18' 39"" N","04° 04' 10"" W"
rochester,"51° 23' 25"" N","00° 29' 59"" E"
rochford,"51° 34' 35"" N","00° 43' 38"" E"
ryde,"50° 44' 05"" N","01° 09' 49"" W"
rye-harbour,"50° 56' 12"" N","00° 45' 54"" E"
salcombe,"50° 13' 45"" N","03° 46' 13"" W"
saltash,"50° 24' 27"" N","04° 12' 14"" W"
sandown,"50° 38' 57"" N","01° 09' 14"" W"
scarborough,"54° 16' 37"" N","00° 23' 15"" W"
seaham,"54° 50' 07"" N","01° 19' 09"" W"
seascale,"54° 23' 34"" N","03° 29' 16"" W"
selsey-bill,"50° 43' 42"" N","00° 46' 26"" W"
sennen-cove-lands-end,"50° 04' 17"" N","05° 42' 49"" W"
sharpness-dock,"51° 43' 32"" N","02° 28' 56"" W"
sheerness,"51° 26' 31"" N","00° 46' 14"" E"
shoreham,"50° 49' 24"" N","00° 14' 51"" W"
sidmouth,"50° 40' 34"" N","03° 14' 01"" W"
skegness,"53° 08' 52"" N","00° 21' 04"" E"
southampton,"50° 53' 19"" N","01° 23' 14"" W"
southend-on-sea,"51° 31' 47"" N","00° 43' 08"" E"
southport,"53° 39' 10"" N","03° 01' 11"" W"
southwold,"52° 19' 26"" N","01° 41' 05"" E"
spurn-head,"53° 34' 41"" N","00° 06' 34"" E"
st-germans,"50° 23' 45"" N","04° 18' 01"" W"
st-ives,"50° 12' 40"" N","05° 28' 27"" W"
st-marys-isles-of-scilly,"49° 55' 13"" N","06° 19' 04"" W"
starcross,"50° 37' 34"" N","03° 26' 36"" W"
start-point,"50° 13' 37"" N","03° 38' 56"" W"
stoke-gabriel,"50° 24' 04"" N","03° 37' 19"" W"
sunderland,"54° 54' 40"" N","01° 21' 20"" W"
swanage,"50° 36' 39"" N","01° 57' 08"" W"
tabs-head,"52° 56' 10"" N","00° 04' 50"" E"
tarn-point,"54° 17' 37"" N","03° 25' 32"" W"
teignmouth,"50° 32' 17"" N","03° 29' 48"" W"
tilbury,"51° 27' 11"" N","00° 20' 46"" E"
topsham,"50° 40' 55"" N","03° 28' 06"" W"
torquay,"50° 27' 37"" N","03° 32' 05"" W"
totland-bay,"50° 40' 39"" N","01° 33' 06"" W"
totnes,"50° 25' 50"" N","03° 40' 55"" W"
truro,"50° 15' 40"" N","05° 02' 52"" W"
turnchapel,"50° 21' 37"" N","04° 07' 12"" W"
ulverston,"54° 11' 52"" N","03° 05' 02"" W"
upnor,"51° 24' 35"" N","00° 31' 49"" E"
ventnor,"50° 35' 27"" N","01° 12' 27"" W"
wadebridge,"50° 30' 60"" N","04° 50' 06"" W"
walton-on-the-naze,"51° 50' 54"" N","01° 16' 43"" E"
warsash,"50° 50' 56"" N","01° 18' 25"" W"
watchet,"51° 11' 00"" N","03° 19' 39"" W"
wells-next-the-sea,"52° 58' 30"" N","00° 51' 08"" E"
west-mersea,"51° 46' 48"" N","00° 53' 45"" E"
west-stones,"52° 50' 29"" N","00° 22' 29"" E"
weston-super-mare,"51° 20' 47"" N","02° 59' 58"" W"
weymouth,"50° 36' 29"" N","02° 26' 25"" W"
whitby,"54° 29' 28"" N","00° 36' 48"" W"
whitehaven,"54° 33' 06"" N","03° 35' 45"" W"
whitstable,"51° 21' 46"" N","01° 01' 16"" E"
widnes,"53° 21' 07"" N","02° 43' 31"" W"
winterton-on-sea,"52° 43' 05"" N","01° 42' 16"" E"
woodbridge,"52° 05' 36"" N","01° 19' 36"" E"
workington,"54° 38' 57"" N","03° 34' 19"" W"
worthing,"50° 48' 25"" N","00° 22' 06"" W"
yarmouth,"50° 42' 18"" N","01° 30' 16"" W"
douglas,"54° 09' 11"" N","04° 28' 18"" W"
peel,"54° 13' 60"" N","04° 42' 00"" W"
port-erin,"54° 04' 46"" N","04° 46' 43"" W"
ramsey,"54° 19' 22"" N","04° 22' 24"" W"
ardglass,"54° 15' 37"" N","05° 36' 02"" W"
bangor,"54° 39' 59"" N","05° 40' 20"" W"
belfast,"54° 38' 46"" N","05° 52' 27"" W"
carrickfergus,"54° 43' 14"" N","05° 46' 42"" W"
coleraine,"55° 07' 55"" N","06° 40' 27"" W"
cranfield-point,"54° 01' 20"" N","06° 03' 29"" W"
cushendun,"55° 07' 39"" N","06° 02' 17"" W"
donaghadee,"54° 38' 40"" N","05° 31' 41"" W"
greenore,"54° 02' 12"" N","06° 07' 47"" W"
killard-point,"54° 18' 54"" N","05° 31' 24"" W"
killyleagh,"54° 23' 60"" N","05° 38' 18"" W"
larne,"54° 51' 31"" N","05° 48' 09"" W"
newcastle-north-ireland,"54° 12' 28"" N","05° 53' 04"" W"
portavogie,"54° 27' 14"" N","05° 26' 17"" W"
portrush,"55° 12' 20"" N","06° 40' 02"" W"
the-warren,"55° 12' 38"" N","06° 57' 30"" W"
warrenpoint,"54° 05' 47"" N","06° 15' 04"" W"
aberdeen,"57° 08' 35"" N","02° 03' 59"" W"
anstruther-easter,"56° 13' 06"" N","02° 42' 02"" W"
arbroath,"56° 33' 09"" N","02° 34' 52"" W"
ardrossan,"55° 38' 41"" N","04° 49' 26"" W"
ayr,"55° 28' 13"" N","04° 38' 41"" W"
badcall-bay,"58° 19' 09"" N","05° 08' 45"" W"
banff,"57° 40' 00"" N","02° 31' 00"" W"
bernera-harbor,"58° 16' 00"" N","06° 52' 00"" W"
burghead,"57° 42' 13"" N","03° 30' 06"" W"
burntisland,"56° 03' 07"" N","03° 14' 10"" W"
cockenzie,"55° 58' 29"" N","02° 57' 23"" W"
cromarty,"57° 41' 03"" N","04° 01' 57"" W"
dingwall,"57° 35' 59"" N","04° 24' 56"" W"
drummore,"54° 41' 30"" N","04° 53' 33"" W"
dunbar,"56° 00' 05"" N","02° 30' 35"" W"
duncansby-head,"58° 38' 52"" N","03° 02' 06"" W"
dundee,"56° 27' 00"" N","02° 58' 00"" W"
eyemouth,"55° 52' 30"" N","02° 05' 12"" W"
fidra,"56° 04' 00"" N","02° 46' 00"" W"
fortrose,"57° 34' 40"" N","04° 07' 58"" W"
fraserburgh,"57° 41' 37"" N","01° 59' 55"" W"
garlieston,"54° 46' 60"" N","04° 20' 60"" W"
gills-bay,"58° 38' 25"" N","03° 09' 47"" W"
girvan,"55° 14' 48"" N","04° 52' 24"" W"
golspie,"57° 58' 11"" N","03° 58' 25"" W"
grangemouth,"56° 02' 10"" N","03° 40' 54"" W"
granton,"55° 59' 19"" N","03° 13' 50"" W"
invergordon,"57° 40' 60"" N","04° 10' 00"" W"
inverness,"57° 29' 35"" N","04° 14' 04"" W"
irvine,"55° 36' 20"" N","04° 41' 48"" W"
isle-of-whithorn,"54° 41' 41"" N","04° 21' 44"" W"
kinlochbervie,"58° 27' 37"" N","05° 03' 34"" W"
kirkcaldy,"56° 06' 46"" N","03° 08' 59"" W"
kyle-of-durness,"58° 36' 10"" N","04° 47' 02"" W"
leith,"55° 59' 15"" N","03° 10' 12"" W"
lerwick,"60° 09' 37"" N","01° 08' 53"" W"
leverburgh,"57° 46' 08"" N","07° 01' 11"" W"
loch-boisdale,"57° 08' 39"" N","07° 17' 51"" W"
loch-inver,"58° 08' 41"" N","05° 16' 34"" W"
loch-laxford,"58° 23' 60"" N","05° 05' 05"" W"
loch-maddy,"57° 36' 40"" N","07° 08' 40"" W"
loch-nedd,"58° 14' 16"" N","05° 10' 07"" W"
lossiemouth,"57° 42' 53"" N","03° 16' 43"" W"
mallaig,"57° 00' 32"" N","05° 49' 49"" W"
meikle-ferry,"57° 51' 17"" N","04° 08' 15"" W"
methil,"56° 10' 50"" N","03° 00' 29"" W"
millport,"55° 44' 50"" N","04° 55' 57"" W"
montrose,"56° 42' 06"" N","02° 27' 31"" W"
moray-firth,"57° 38' 50"" N","03° 43' 46"" W"
nairn,"57° 35' 32"" N","03° 51' 45"" W"
newburgh,"56° 21' 18"" N","03° 14' 17"" W"
north-bay,"56° 59' 59"" N","07° 24' 43"" W"
oban,"56° 24' 52"" N","05° 28' 48"" W"
perth,"56° 23' 40"" N","03° 25' 28"" W"
peterhead,"57° 30' 01"" N","01° 46' 59"" W"
port-askaig,"55° 50' 51"" N","06° 05' 60"" W"
portmahomack,"57° 50' 07"" N","03° 49' 57"" W"
portnancon,"58° 30' 08"" N","04° 41' 18"" W"
portpatrick,"54° 50' 19"" N","05° 07' 15"" W"
portree,"57° 24' 36"" N","06° 11' 07"" W"
rosyth,"56° 01' 05"" N","03° 26' 19"" W"
rothesay-bay,"55° 50' 32"" N","05° 03' 17"" W"
scrabster,"58° 36' 29"" N","03° 32' 50"" W"
silloth,"54° 52' 14"" N","03° 23' 39"" W"
southerness-point,"54° 51' 48"" N","03° 36' 02"" W"
st-kilda,"57° 49' 30"" N","08° 34' 32"" W"
stonehaven,"56° 57' 50"" N","02° 12' 04"" W"
stornoway-isle-of-lewis,"58° 13' 28"" N","06° 21' 18"" W"
stranraer,"54° 55' 21"" N","05° 01' 33"" W"
stroma,"58° 39' 59"" N","03° 07' 49"" W"
tay-river-bay,"56° 24' 47"" N","02° 44' 38"" W"
tobermory-island-of-mull,"56° 37' 16"" N","06° 03' 37"" W"
uig-bay-loch-snizort,"57° 34' 53"" N","06° 22' 20"" W"
ullapool,"57° 53' 21"" N","05° 09' 39"" W"
wemyss-bay,"55° 52' 52"" N","04° 53' 41"" W"
west-loch-tarbert,"57° 55' 00"" N","06° 55' 00"" W"
whitehills,"57° 40' 47"" N","02° 34' 58"" W"
wick,"58° 26' 17"" N","03° 04' 32"" W"
aberdovey,"52° 32' 13"" N","04° 03' 59"" W"
aberystwyth,"52° 25' 07"" N","04° 05' 30"" W"
amlwch,"53° 25' 04"" N","04° 20' 49"" W"
bardsey-island,"52° 46' 07"" N","04° 46' 56"" W"
barmouth,"52° 42' 55"" N","04° 03' 02"" W"
barry,"51° 23' 15"" N","03° 15' 30"" W"
beaumaris,"53° 15' 52"" N","04° 04' 20"" W"
burry-port,"51° 40' 33"" N","04° 15' 02"" W"
caernarfon,"53° 08' 49"" N","04° 16' 20"" W"
cardiff,"51° 26' 47"" N","03° 09' 51"" W"
chepstow,"51° 38' 33"" N","02° 39' 60"" W"
colwyn-bay,"53° 17' 58"" N","03° 43' 12"" W"
conwy,"53° 17' 06"" N","03° 49' 38"" W"
criccieth,"52° 54' 54"" N","04° 13' 19"" W"
ferryside,"51° 46' 07"" N","04° 22' 22"" W"
fishguard,"52° 00' 14"" N","04° 58' 16"" W"
hilbre-island,"53° 23' 12"" N","03° 12' 25"" W"
holyhead,"53° 18' 42"" N","04° 37' 14"" W"
little-haven,"51° 46' 25"" N","05° 06' 53"" W"
llanddwyn-island,"53° 08' 01"" N","04° 24' 53"" W"
llandudno,"53° 19' 55"" N","03° 49' 22"" W"
llanelli,"51° 39' 57"" N","04° 10' 06"" W"
llangoed,"53° 18' 52"" N","04° 02' 20"" W"
menai-bridge,"53° 13' 23"" N","04° 09' 28"" W"
milford-haven,"51° 42' 11"" N","05° 02' 02"" W"
moelfre,"53° 21' 23"" N","04° 13' 30"" W"
mostyn-docks,"53° 19' 19"" N","03° 15' 42"" W"
mumbles,"51° 34' 29"" N","03° 59' 37"" W"
new-quay,"52° 13' 05"" N","04° 21' 19"" W"
newport,"51° 32' 36"" N","02° 59' 07"" W"
neyland,"51° 42' 20"" N","04° 56' 31"" W"
port-cardigan,"52° 05' 58"" N","04° 40' 46"" W"
porthcawl,"51° 28' 17"" N","03° 42' 13"" W"
porthgain,"51° 57' 04"" N","05° 11' 02"" W"
solva,"51° 52' 03"" N","05° 11' 48"" W"
steep-holm,"51° 20' 20"" N","03° 06' 01"" W"
swansea,"51° 36' 14"" N","03° 56' 43"" W"
tenby,"51° 40' 14"" N","04° 41' 22"" W"
trefor,"52° 59' 60"" N","04° 25' 13"" W"
bakkai,"45° 18' 34"" N","141° 36' 39"" E"
wakkanai,"45° 25' 00"" N","141° 40' 59"" E"
soyamisaki,"45° 31' 00"" N","141° 56' 60"" E"
sarufutsu,"45° 20' 34"" N","142° 09' 54"" E"
esashi-soya,"44° 55' 49"" N","142° 35' 45"" E"
omu,"44° 34' 60"" N","142° 58' 01"" E"
monbetsu,"44° 20' 35"" N","143° 22' 12"" E"
kitami,"44° 07' 35"" N","144° 05' 47"" E"
abashiri,"44° 01' 14"" N","144° 17' 26"" E"
shari,"44° 02' 51"" N","144° 57' 04"" E"
rausu,"44° 01' 00"" N","145° 11' 60"" E"
betsukai,"43° 34' 03"" N","145° 13' 47"" E"
hanasaki,"43° 16' 43"" N","145° 34' 26"" E"
nemuro,"43° 20' 17"" N","145° 34' 37"" E"
ochiishi,"43° 10' 60"" N","145° 31' 01"" E"
hamanaka,"43° 04' 56"" N","145° 07' 11"" E"
akkeshi,"43° 02' 48"" N","144° 50' 20"" E"
kushiro,"42° 58' 48"" N","144° 20' 58"" E"
kaishodori,"42° 16' 55"" N","143° 19' 30"" E"
oshirabetsu,"42° 13' 25"" N","143° 19' 18"" E"
rubeshibetsu,"42° 12' 00"" N","143° 19' 59"" E"
shoya,"42° 02' 30"" N","143° 17' 49"" E"
erimomisaki,"41° 56' 13"" N","143° 14' 43"" E"
honcho,"42° 00' 44"" N","143° 08' 37"" E"
urakawa,"42° 10' 00"" N","142° 46' 01"" E"
mitsuishihoncho,"42° 14' 44"" N","142° 32' 58"" E"
higashishizunai,"42° 17' 42"" N","142° 26' 58"" E"
tomakomai,"42° 37' 60"" N","141° 37' 59"" E"
noboribetsu,"42° 23' 59"" N","141° 06' 54"" E"
muroran,"42° 18' 39"" N","140° 57' 57"" E"
date,"42° 31' 00"" N","140° 46' 01"" E"
mori,"42° 06' 41"" N","140° 35' 24"" E"
usujiricho,"41° 55' 60"" N","140° 56' 60"" E"
esancho,"41° 46' 59"" N","141° 08' 59"" E"
tomarimachi,"41° 43' 00"" N","141° 00' 00"" E"
hakodate,"41° 46' 20"" N","140° 43' 16"" E"
hokuto,"41° 48' 59"" N","140° 38' 59"" E"
shiriuchi,"41° 33' 34"" N","140° 26' 04"" E"
fukushima,"41° 26' 42"" N","140° 14' 25"" E"
benten,"41° 25' 09"" N","140° 05' 39"" E"
otsu,"41° 32' 17"" N","139° 59' 41"" E"
esashi-hiyama,"41° 52' 18"" N","140° 07' 04"" E"
aonae,"42° 03' 41"" N","139° 27' 19"" E"
okushiri,"42° 10' 28"" N","139° 31' 17"" E"
setana,"42° 28' 00"" N","139° 50' 60"" E"
suttsu,"42° 46' 60"" N","140° 16' 01"" E"
iwanai,"42° 59' 50"" N","140° 30' 32"" E"
shakotan,"43° 19' 60"" N","140° 20' 60"" E"
oshoro,"43° 13' 00"" N","140° 50' 60"" E"
takashima,"43° 13' 00"" N","141° 01' 01"" E"
ishikari,"43° 35' 56"" N","141° 22' 52"" E"
rumoi,"43° 57' 00"" N","141° 37' 59"" E"
tomamae,"44° 19' 00"" N","141° 39' 00"" E"
funadomari,"45° 27' 00"" N","141° 01' 59"" E"
kaishomae,"45° 18' 06"" N","141° 03' 11"" E"
rishiri,"45° 11' 14"" N","141° 07' 59"" E"
rishirifuji,"45° 13' 60"" N","141° 13' 59"" E"
iwasaki,"40° 34' 59"" N","139° 54' 48"" E"
fukaura,"40° 38' 60"" N","139° 55' 59"" E"
ajigasawa,"40° 46' 60"" N","140° 13' 01"" E"
tsugaru,"40° 49' 09"" N","140° 15' 46"" E"
goshogawara,"41° 05' 42"" N","140° 18' 38"" E"
nakadomari,"41° 14' 32"" N","140° 20' 24"" E"
sotogahama,"41° 11' 43"" N","140° 26' 10"" E"
imabetsu,"41° 13' 00"" N","140° 33' 00"" E"
yomogita,"40° 58' 03"" N","140° 39' 32"" E"
aomori,"40° 49' 60"" N","140° 46' 01"" E"
moura,"40° 56' 29"" N","140° 51' 59"" E"
kominato,"40° 56' 23"" N","140° 58' 46"" E"
noheji,"40° 52' 00"" N","141° 07' 01"" E"
yokohama,"41° 05' 00"" N","141° 14' 37"" E"
ominato,"41° 16' 32"" N","141° 09' 50"" E"
sekine,"41° 21' 57"" N","141° 13' 58"" E"
sai,"41° 25' 56"" N","140° 51' 30"" E"
oma,"41° 31' 60"" N","140° 54' 00"" E"
kazamaura,"41° 27' 32"" N","141° 06' 47"" E"
siriya,"41° 24' 36"" N","141° 26' 02"" E"
shiriyazaki,"41° 25' 45"" N","141° 27' 53"" E"
shiranuka,"41° 07' 60"" N","141° 24' 00"" E"
rokkasho,"41° 06' 00"" N","141° 23' 46"" E"
misawa,"40° 41' 00"" N","141° 26' 20"" E"
oirase,"40° 38' 26"" N","141° 26' 59"" E"
hachinohe,"40° 31' 60"" N","141° 31' 59"" E"
hashikami,"40° 27' 28"" N","141° 40' 03"" E"
hirono,"40° 21' 00"" N","141° 46' 01"" E"
kuji,"40° 10' 60"" N","141° 49' 01"" E"
noda,"40° 06' 44"" N","141° 50' 02"" E"
fudai,"40° 00' 37"" N","141° 54' 25"" E"
tanohata,"39° 55' 52"" N","141° 56' 29"" E"
iwaizumi,"39° 50' 56"" N","141° 58' 36"" E"
miyako,"39° 37' 60"" N","141° 58' 59"" E"
yamada,"39° 28' 00"" N","141° 58' 01"" E"
otsuchi,"39° 21' 08"" N","141° 54' 42"" E"
kamaishi,"39° 16' 00"" N","141° 54' 00"" E"
ofunato,"39° 02' 60"" N","141° 43' 59"" E"
rikuzentakata,"38° 59' 53"" N","141° 37' 41"" E"
kesennuma,"38° 52' 60"" N","141° 37' 01"" E"
minamisanriku,"38° 40' 00"" N","141° 26' 60"" E"
funakoshi,"38° 32' 23"" N","141° 30' 34"" E"
onagawa,"38° 25' 60"" N","141° 28' 01"" E"
oginohama,"38° 22' 20"" N","141° 26' 58"" E"
ayukawa,"38° 17' 34"" N","141° 30' 24"" E"
ishinomaki,"38° 25' 00"" N","141° 19' 01"" E"
sato,"38° 20' 15"" N","141° 08' 46"" E"
urato,"38° 19' 40"" N","141° 06' 38"" E"
matsushima,"38° 22' 04"" N","141° 03' 49"" E"
rifu,"38° 20' 41"" N","141° 02' 39"" E"
shiogama,"38° 19' 00"" N","141° 01' 59"" E"
sichigahama,"38° 18' 20"" N","141° 05' 07"" E"
miyagino-ku,"38° 16' 00"" N","141° 01' 59"" E"
wakabayashi-ku,"38° 12' 31"" N","140° 59' 01"" E"
natori,"38° 10' 00"" N","140° 58' 01"" E"
iwanuma,"38° 05' 12"" N","140° 55' 49"" E"
watari,"38° 01' 38"" N","140° 55' 19"" E"
yamamoto,"37° 57' 40"" N","140° 55' 07"" E"
happo,"40° 23' 50"" N","139° 58' 33"" E"
noshiro,"40° 13' 00"" N","140° 00' 00"" E"
mitane,"40° 06' 25"" N","139° 57' 46"" E"
oga,"39° 52' 47"" N","139° 51' 23"" E"
katagami,"39° 51' 31"" N","139° 59' 28"" E"
akita,"39° 45' 00"" N","140° 04' 01"" E"
yurihonjo,"39° 23' 09"" N","140° 02' 56"" E"
nikaho,"39° 14' 59"" N","139° 54' 47"" E"
yuza,"39° 01' 09"" N","139° 51' 14"" E"
sakata,"38° 55' 00"" N","139° 49' 59"" E"
kamo,"38° 46' 00"" N","139° 43' 59"" E"
yura,"38° 43' 06"" N","139° 40' 50"" E"
nezugaseki,"38° 33' 35"" N","139° 32' 38"" E"
shinchi,"37° 52' 20"" N","140° 56' 22"" E"
soma,"37° 49' 00"" N","140° 58' 59"" E"
minamisoma,"37° 39' 50"" N","141° 01' 32"" E"
namie,"37° 28' 56"" N","141° 02' 35"" E"
futaba,"37° 26' 58"" N","141° 02' 20"" E"
okuma,"37° 25' 00"" N","141° 01' 59"" E"
tomioka,"37° 19' 00"" N","141° 01' 59"" E"
naraha,"37° 16' 57"" N","141° 01' 19"" E"
hirono,"37° 12' 46"" N","141° 00' 34"" E"
yotsukura,"37° 06' 00"" N","141° 00' 00"" E"
onahama,"36° 55' 60"" N","140° 54' 00"" E"
kitaibaraki,"36° 49' 60"" N","140° 48' 00"" E"
takahagi,"36° 42' 45"" N","140° 43' 36"" E"
hitachi,"36° 30' 00"" N","140° 37' 59"" E"
tokai,"36° 27' 53"" N","140° 36' 48"" E"
hitachinaka,"36° 24' 17"" N","140° 36' 48"" E"
oarai,"36° 18' 22"" N","140° 34' 59"" E"
hokota,"36° 09' 17"" N","140° 35' 03"" E"
kashima,"35° 58' 36"" N","140° 39' 51"" E"
kamisu,"35° 55' 34"" N","140° 42' 09"" E"
choshi,"35° 44' 00"" N","140° 52' 17"" E"
asahi,"35° 41' 33"" N","140° 40' 37"" E"
sosa,"35° 38' 55"" N","140° 35' 43"" E"
yokoshibahikari,"35° 36' 45"" N","140° 32' 38"" E"
sanmu,"35° 34' 24"" N","140° 29' 48"" E"
kujukuri,"35° 31' 51"" N","140° 27' 42"" E"
oamishirasato,"35° 29' 06"" N","140° 25' 31"" E"
shirako,"35° 26' 27"" N","140° 24' 22"" E"
chosei,"35° 24' 12"" N","140° 23' 42"" E"
ichinomiya,"35° 21' 46"" N","140° 23' 36"" E"
isumi,"35° 15' 12"" N","140° 24' 18"" E"
onjuku,"35° 10' 46"" N","140° 21' 21"" E"
katsuura,"35° 07' 60"" N","140° 15' 00"" E"
kamogawa,"35° 04' 60"" N","140° 05' 60"" E"
shirahama,"34° 54' 34"" N","139° 55' 36"" E"
mera,"34° 55' 07"" N","139° 49' 25"" E"
tomiura,"35° 02' 37"" N","139° 49' 48"" E"
tateyama,"34° 58' 60"" N","139° 50' 60"" E"
kyonan,"35° 06' 32"" N","139° 49' 33"" E"
futtsu,"35° 18' 46"" N","139° 46' 56"" E"
kimitsu,"35° 21' 02"" N","139° 50' 56"" E"
kisarazu,"35° 22' 57"" N","139° 54' 55"" E"
sodegaura,"35° 26' 32"" N","139° 56' 51"" E"
anegasaki,"35° 28' 40"" N","140° 00' 52"" E"
yawatajuku,"35° 33' 09"" N","140° 05' 18"" E"
chuo-ku,"35° 34' 60"" N","140° 07' 01"" E"
mihama-ku,"35° 37' 32"" N","140° 02' 47"" E"
narashino,"35° 39' 19"" N","140° 00' 46"" E"
funabashi,"35° 40' 60"" N","139° 58' 59"" E"
ichikawa,"35° 40' 60"" N","139° 56' 60"" E"
urayasu,"35° 37' 31"" N","139° 55' 10"" E"
ota,"35° 34' 09"" N","139° 46' 30"" E"
